written report . ||| kursen examineras i form av en skriftlig rapport
* describe and analyze/design the central processing unit's basic parts . ||| * beskriva och analysera / konstruera centralenhetens grundläggande delar .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- analyze/design a single alu and design control signal sequences for basic alu operations , and ||| - analysera / konstruera en enkel alu och utforma styrsignalsekvenser för grundläggande alu-operationer .
- analyze a single data path and construct and design control signal sequences for transfers between registers , alu , and memory . ||| - analysera en enkel dataväg , samt konstruera och utforma styrsignalsekvenser för överföringar mellan register , alu och minne .
* explain how the instructions created the control signal sequences . ||| * förklara hur instruktioner byggs upp av styrsekvenser .
the student should be able to use examples to explain and describe instruction formats , instruction decoding , and instruction execution . ||| detta betyder att man till exempel ska kunna förklara och med exempel beskriva instruktionsformat , instruktionsavkodning och instruktionsutförande
* describe and analyze the control unit ||| * beskriva och analysera den automatiska styrenhetens funktion och uppbyggnad .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- describe how the control signal sequences can be realized with either hard-wired logic or micro-programmed logic , and ||| - beskriva hur styrsignalsekvenser kan realiseras med fast kopplad logik såväl som mikroprogrammerad logik .
- analyze and design control signal sequences from instruction semantics . ||| - analysera och konstruera styrsignalsekvenser utgående från instruktioners semantik .
* explain the primary memory's core functions and describe , analyze , and design realize the main memory's connection to the cpu . ||| * förklara primärminnets grundläggande funktioner samt beskriva , analysera och konstruera primärminnets anslutning till centralenheten .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- describe different types of primary memory such as rom , prom , flash , sram , and dram , and explain the usefulness of each type for different purposes ; ||| - beskriva olika typer av primärminnen såsom rom , prom , flash , statiskt ram och dynamiskt ram , samt förklara respektive minnestyps användbarhet för olika ändamål .
- explain the concept of memory hierarchies ; ||| - förklara begreppet minneshierarki .
- describe , analyze , and realize address decoding logic for the primary memory ; ||| - beskriva , analysera och konstruera avkodningslogik för primärminne med digitala komponenter .
- describe , analyze and realize simple memory addressed ios with digital components ; and ||| - beskriva , analysera och konstruera enkel minnesadresserad io med digitala komponenter .
- explain/describe how the bus links the cpu and memory . ||| - förklara / beskriva hur centralenhet och minne kopplas samman med hjälp av datorns bussystem .
the student should be able to describe synchronous and asynchronous bus protocols and multiplexing . ||| detta betyder att man till exempel ska kunna beskriva synkrona och asynkrona bussprotokoll samt multiplexteknik .
* describe basic exception handling in computer systems . ||| * beskriva elementär undantagshantering i datorsystem .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- explain various hardware and software exception handling , such as restart , software-initiated exceptions , and externally generated exceptions ( interrupts ) , ||| * förklara undantagstyper såsom återstart , programvaruinitierade undantag samt externt genererade undantag ( avbrott ) .
- describe how the restart and software-initiated exception are performed in the controller , and ||| * beskriva hur återstart och programvaruinitierade undantag utförs i styrenheten .
- describe how interrupts are handled in the cpu . ||| * beskriva hur avbrott hanteras i centralenheten .
the student should be able to ||| detta betyder att man till exempel ska kunna
- convert numbers between decimal , binary , and hexadecimal representation , and ||| - utföra omvandling av tal mellan decimal , binär och hexadecimal representation .
* describe and analyze the computer's structure as a programmable digital system . ||| * beskriva och analysera datorns uppbyggnad som programmerbart digitalt system .
the combinatorial circuits considered here consist ( mainly ) of simple circuits such as multiplexers , de-multiplexers , full adders , bit shifters , etc. . ||| de kombinatoriska nät som här avses utgörs ( huvudsakligen ) av enklare nät såsom väljare,fördelare , heladderare , bitskiftare etc.
the sequential circuits considered here consist of memory elements and counters . ||| de sekvensnät som här avses utgörs av minneselement och räknare .
program in assembler ||| om assemblerprogrammering
* explain the stored program principle . ||| * förklara det lagrade programmets princip .
* describe the programmer's model of the machine . ||| * beskriva programmerarens bild av maskinen , dvs instruktionsuppsättning och adresseringssätt .
* describe , analyze , and design simple assembly language programs organized into subroutines . ||| * beskriva , analysera och konstruera enkla assemblerprogram , organiserade i subrutiner .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- structure programs using subroutines and stack management , and ||| - strukturera program med hjälp av subrutiner och stackhantering .
- write small routines including software-controlled and interrupt-driven input and output and delays . ||| - skriva små rutiner innefattande programstyrd och avbrottsstyrd in- och utmatning samt fördröjningar .
scheduled teaching consists of lectures , demonstrations , and supervised coding and simulation exercises . ||| schemalagd undervisning består av föreläsningar , demonstrationer och handledda simulerings- kodnings- övningar .
there are also supervised laboratory sessions for which students are required to prepare beforehand . ||| dessutom utförs handledda obligatoriska laborationer där förkunskapskontroll genomförs inför varje laboration .
throughout the course , the student will design increasingly complex digital building blocks of digital and computer systems . ||| under kursen konstruerar studenten genomgående större och större digitala byggblock ingående i digitala system och datorsystem .
the theory is presented in lectures and demonstrations . ||| teorin inhämtas genom föreläsningar och demonstrationer .
students construct their building blocks and test their designs with the help of simulators during exercises . ||| studenten konstruerar sina byggblock och testar sin konstruktion med hjälp av simulatorer under simuleringsövningar .
the building blocks are subsequently realized in hardware during the lab sessions . ||| därefter implementerar studenten sina byggblock i hårdvara under laboration .
the realization is completed by linking the building blocks into a computer and programming it . ||| konstruktionsarbetet avslutas med att sammankoppla byggblocken till en dator och programmera denna .
none ||| endast grundläggande behörighet
* the essential elements and concepts of digital technology and different number systems . ||| * digitalteknikens grundläggande element och begrepp och olika talsystem .
* using boolean algebra to construct combinatorial networks and synchronous sequential circuits . ||| * boolesk algebras användning för konstruktion av kombinatoriska nät och synkrona sekvensnät .
* the computer's digital building blocks ( alu , data path , controller , memory , input and output devices ) . ||| * datorns digitala byggblock ( alu , dataväg , styrenhet , minne , in- och ut- enheter ) .
* the traditional processor architecture ( data-path and control unit and its instruction set ) as a synchronously operating digital machine . ||| * den traditionsenliga processorns uppbyggnad ( dataväg och styrenhet med instruktionsuppsättning ) som en synkront arbetande digitalmaskin .
* coding in machine language and assembly language . ||| * kodning i maskinspråk och assemblerspråk .
to pass the course the student must pass a written examination and the laboratory work . ||| för att bli godkänd på kursen krävs godkänd skriftlig tentamen samt godkända laborationer .
based on the written examination the final grade is either u , 3 , 4 or 5 . ||| baserat på tentamensresultatet ges betygen u,3,4 eller 5 .
describe the computer structures and organisation ||| * beskriva datorns uppbyggnad och funktion .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- give a block-level description of how the data-path , register file , and arithmetic logic unit ( alu ) are connected , and ||| - beskriva på blocknivå hur styrenhet , dataväg , registerfil , aritmetik- och logikenhet ( alu ) kopplas samman i en centralenhet .
- explain architectural concepts such as accumulator architectures , risc , cisc , stack architectures , and pipelines . ||| - förklara begreppen ackumulatorarkitektur , risc , cisc , stackarkitektur och pipeline .
* describe and analyze/design the central processing unit's basic parts . ||| * beskriva och analysera / konstruera centralenhetens grundläggande delar .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- analyze/design a single alu and design control signal sequences for basic alu operations , and ||| - analysera / konstruera en enkel alu och utforma styrsignalsekvenser för grundläggande alu-operationer .
- analyze a single data path and construct and design control signal sequences for transfers between registers , alu , and memory . ||| - analysera en enkel dataväg , samt konstruera och utforma styrsignalsekvenser för överföringar mellan register , alu och minne .
* explain how the instructions created the control signal sequences . ||| * förklara hur instruktioner byggs upp av styrsekvenser .
* describe and analyze the control unit ||| * beskriva och analysera den automatiska styrenhetens funktion och uppbyggnad .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- describe how the control signal sequences can be realized with either hard-wired logic or micro-programmed logic , and ||| - beskriva hur styrsignalsekvenser kan realiseras med fast kopplad logik såväl som mikroprogrammerad logik .
- analyze and design control signal sequences from instruction semantics . ||| - analysera och konstruera styrsignalsekvenser utgående från instruktioners semantik .
* explain the primary memory's core functions and describe , analyze , and design realize the main memory's connection to the cpu . ||| * förklara primärminnets grundläggande funktioner samt beskriva , analysera och konstruera primärminnets anslutning till centralenheten .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- describe different types of primary memory such as rom , prom , flash , sram , and dram , and explain the usefulness of each type for different purposes ; ||| - beskriva olika typer av primärminnen såsom rom , prom , flash , statiskt ram och dynamiskt ram , samt förklara respektive minnestyps användbarhet för olika ändamål .
- explain the concept of memory hierarchies ; ||| - förklara begreppet minneshierarki .
- describe , analyze , and realize address decoding logic for the primary memory ; ||| - beskriva , analysera och konstruera avkodningslogik för primärminne med digitala komponenter .
- describe , analyze and realize simple memory addressed ios with digital components ; and ||| - beskriva , analysera och konstruera enkel minnesadresserad io med digitala komponenter .
- explain/describe how the bus links the cpu and memory . ||| - förklara / beskriva hur centralenhet och minne kopplas samman med hjälp av datorns bussystem .
the student should be able to describe synchronous and asynchronous bus protocols and multiplexing . ||| detta betyder att man till exempel ska kunna beskriva synkrona och asynkrona bussprotokoll samt multiplexteknik .
* describe basic exception handling in computer systems . ||| * beskriva elementär undantagshantering i datorsystem .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- explain various hardware and software exception handling , such as restart , software-initiated exceptions , and externally generated exceptions ( interrupts ) , ||| * förklara undantagstyper såsom återstart , programvaruinitierade undantag samt externt genererade undantag ( avbrott ) .
- describe how the restart and software-initiated exception are performed in the controller , and ||| * beskriva hur återstart och programvaruinitierade undantag utförs i styrenheten .
- describe how interrupts are handled in the cpu . ||| * beskriva hur avbrott hanteras i centralenheten .
within digital technology ||| om digitalteknik
* describe and use binary codes . ||| * beskriva och använda binära koder .
the student should be able to ||| detta betyder att man till exempel ska kunna
- convert numbers between decimal , binary , and hexadecimal representation , and ||| - utföra omvandling av tal mellan decimal , binär och hexadecimal representation .
* describe and analyze the computer's structure as a programmable digital system . ||| * beskriva och analysera datorns uppbyggnad som programmerbart digitalt system .
the combinatorial circuits considered here consist ( mainly ) of simple circuits such as multiplexers , de-multiplexers , full adders , bit shifters , etc. . ||| de kombinatoriska nät som här avses utgörs ( huvudsakligen ) av enklare nät såsom väljare,fördelare , heladderare , bitskiftare etc.
the sequential circuits considered here consist of memory elements and counters . ||| de sekvensnät som här avses utgörs av minneselement och räknare .
program in assembler ||| om assemblerprogrammering
* explain the stored program principle . ||| * förklara det lagrade programmets princip .
* describe the programmer's model of the machine . ||| * beskriva programmerarens bild av maskinen , dvs instruktionsuppsättning och adresseringssätt .
the student should be able to describe the processor register set , explain the various types of instruction groups and addressing modes and describe them with examples . ||| detta betyder att man till exempel ska kunna förklara olika allmängiltiga typer av instruktionsgrupper och adresseringssätt samt beskriva dessa med exempel .
* describe , analyze , and design simple assembly language programs organized into subroutines . ||| * beskriva , analysera och konstruera enkla assemblerprogram , organiserade i subrutiner .
the student should be able to : ||| detta betyder att man till exempel ska kunna
- structure programs using subroutines and stack management , and ||| - strukturera program med hjälp av subrutiner och stackhantering .
- write small routines including software-controlled and interrupt-driven input and output and delays . ||| - skriva små rutiner innefattande programstyrd och avbrottsstyrd in- och utmatning samt fördröjningar .
scheduled teaching consists of lectures , demonstrations , and supervised coding and simulation exercises . ||| schemalagd undervisning består av föreläsningar , demonstrationer och handledda simulerings- kodnings- övningar .
there are also supervised laboratory sessions for which students are required to prepare beforehand . ||| dessutom utförs handledda obligatoriska laborationer där förkunskapskontroll genomförs inför varje laboration .
throughout the course , the student will design increasingly complex digital building blocks of digital and computer systems . ||| under kursen konstruerar studenten genomgående större och större digitala byggblock ingående i digitala system och datorsystem .
the theory is presented in lectures and demonstrations . ||| teorin inhämtas genom föreläsningar och demonstrationer .
students construct their building blocks and test their designs with the help of simulators during exercises . ||| studenten konstruerar sina byggblock och testar sin konstruktion med hjälp av simulatorer under simuleringsövningar .
the building blocks are subsequently realized in hardware during the lab sessions . ||| därefter implementerar studenten sina byggblock i hårdvara under laboration .
the realization is completed by linking the building blocks into a computer and programming it . ||| konstruktionsarbetet avslutas med att sammankoppla byggblocken till en dator och programmera denna .
basic eligibility ||| grundläggande behörighet
an embedded system is a computer system designed to perform one or a few dedicated functions . ||| ett inbyggt system är ett datorsystem som är konstruerat för att utföra en eller ett fåtal specifika funktioner .
it is embedded in the sense that it is part of a complete device , often including electrical hardware and mechanical parts . ||| det är inbyggt i den mening att det är en del av en komplett enhet , ofta omfattande elektrisk hårdvara och mekaniska delar .
for reasons of safety and usability , some embedded systems have strict constraints on non-functional behavior such as computational delay and periodicity . ||| av säkerhets- och användbarhetsskäl har vissa inbyggda system strikta krav på icke-funktionella beteenden såsom fördröjning och periodicitet hos datorberäkningarna .
such systems are referred to as real-time systems . ||| sådana datorsystem kallas realtidssystem .
examples of real-time systems are control systems for cars , aircraft and space vehicles as well as computer games and multimedia applications . ||| exempel på realtidssystem är styrsystem för bilar , flygplan och rymdfarkoster , samt datorspel och multimediatillämpningar .
this course is intended to give basic knowledge about methods for the design and analysis of real-time systems . ||| denna kurs syftar till att ge grundläggande kunskaper om metoder för konstruktion och analys av realtidssystem .
due to the extremely high costs associated with late discovery of problems in embedded systems , it is important to follow a good design methodology during the development of the software and hardware . ||| på grund av de extremt höga kostnader som följer av en sen upptäckt av problem i inbyggda system är det viktigt att god designmetodik används under utvecklingen av mjuk- och hårdvaran .
one means for that is to use a system architecture that offers good component abstractions and facilitates simple interfacing of components . ||| en sådan metod är att använda en systemarkitektur som tillhandahåller bra abstraktioner av mjukvarukomponenter och som understödjer enkel sammankoppling av sådana komponenter .
the course gives an overview of some state-of-the-art system architectures being used in the design of embedded systems , for example , east-adl , autosar and aadl . ||| kursen ger en översikt av några systemarkitekturer som används vid design av inbyggda system , t ex east-adl , autosar och aadl .
the system architecture philosophy dictates that the software of an embedded system is organized into multiple concurrently-executing tasks , where each task ( or group of tasks ) implements a specific functionality in the system . ||| filosofin bakom systemarkitekturer dikterar att mjukvaran i ett inbyggt system organiseras i multipla parallellt exekverande processer , där varje process ( eller grupp av processer ) implementerar en specifik funktionalitet i systemet .
to that end , a main objective of the course is to demonstrate how the enhanced c programming language is used for implementing communication/synchronization between tasks , resource management and mutual exclusion . ||| ett viktigt syfte med kursen är att demonstrera hur det utökade programspråket c används för att realisera kommunikation och synkronisering mellan processer , resurshantering och ömsesidig uteslutning .
since other programming languages uses monitors or semaphores to implement these functions , the course also contains a presentation of such techniques . ||| eftersom andra programspråk använder monitorer och semaforer för att realisera dessa funktioner , innehåller kursen också en genomgång av sådana tekniker .
in addition , the course demonstrates how to use low-level programming in c to implement interrupt-driven interaction with hardware devices . ||| dessutom demonstreras det i kursen hur man använder lågnivåprogrammering i c för att realisera avbrottsstyrd interaktion med hårdvaruenheter .
to demonstrate the general principles in real-time programming , the course also gives examples of how these techniques are implemented in other programming languages , such as ada and java . ||| för att demonstrera de generella principerna bakom programmering av realtidssystem ger kursen också exempel på hur dessa principer realiseras i andra programspråk , som ada och java .
in order to execute a program containing concurrent tasks there is a run-time system ( real-time kernel ) that distributes the available capacity of the microprocessor ( s ) among the tasks . ||| för att möjliggöra exekvering av ett program som innehåller parallella processer används ett runtime-system ( realtidskärna ) som fördelar den totala tillgängliga beräkningskapaciteten hos systemets mikroprocessor ( er ) mellan processerna .
the course shows how a simple run-time system is organized . ||| kursen beskriver hur ett enkelt runtime-system är organiserat .
the run-time system determines the order of execution for the tasks by means of a scheduling algorithm . ||| exekveringsordningen mellan processerna bestämmer runtime-systemet med hjälp av en schemaläggningsalgoritm .
to that end , the course presents techniques based on cyclic time-table based scheduling as well as scheduling techniques using static or dynamic task priorities . ||| kursen presenterar tekniker baserat på såväl cykliska tidtabeller som statiska eller dynamiska processprioriteter .
in addition , protocols for the management of shared hardware and software resources are presented . ||| dessutom presenteras protokoll för hantering av delade hård- och mjukvaruresurser .
since many contemporary real-time applications are distributed over multiple computer nodes , the course also presents topologies and medium access mechanisms for some commonly-used communication networks . ||| eftersom många av dagens realtidstillämpningar är distribuerade över multipla datornoder innehåller kursen också en introduktion till topologier och mediumaccesstekniker för några vanligt använda kommunikationsnätverk .
in real-time systems , where tasks have strict timing constraints , it is necessary to make a pre-run-time analysis of the system schedulability . ||| i realtidssystem , där processer har strikta tidskrav , är det nödvändigt att göra a priori analys av systemets schemaläggningsbarhet .
the course presents three different analysis methods for systems that schedule tasks using static or dynamic priorities : utilization-based analysis , response-time analysis , and processor-demand analysis . ||| kursen presenterar tre olika analysmetoder för system som schemalägger processer med statiska eller dynamiska prioriteter : utnyttjandegradsbaserad analys , svarstidsanalys och beräkningsbehovsanalys .
in conjunction with this , the course also gives an account on how to derive the maximum resource requirement ( worst-case execution time ) of a task . ||| i samband med detta ges också en insikt i hur det maximala resursbehovet ( värsta-fallets exekveringstid ) för en process beräknas .
written exam and approved laboratory assignment . ||| skriftlig tentamen och godkänd laborationsuppgift .
after the course the students shall be able to : ||| efter kursen skall studenten kunna :
formulate requirements for embedded systems with strict constraints on computational delay and periodicity . ||| formulera krav för inbyggda datorsystem med strikta önskemål på fördröjning och periodicitet hos datorberäkningarna .
reflect and argue in writing on the choice of system implementation vis-á-vis ethical aspects of data integrity ||| reflektera och argumentera i skrift över valet av systemimplemering vis-á-vis etiska aspekter på dataintegritet .
categorize and describe the different layers in a system architecture for embedded real-time systems . ||| kategorisera och beskriva de olika lagren i en systemarkitektur för inbyggda realtidssystem .
construct concurrently-executing tasks ( software units ) for real-time applications that interface to hardware devices ( sensors/actuators ) . ||| konstruera parallellt exekverande processer ( programvarumoduler ) för realtidstillämpningar med gränssnitt mot hårdvaruenheter ( sensorer / ställdon ) .
describe the principles and mechanisms used for designing run-time systems and communication networks for real-time applications . ||| beskriva de principer och mekanismer som används för att konstruera run-time system och kommunikationsnätverk för realtidstillämpningar .
apply the basic analysis methods used for verifying the temporal correctness of a set of executing tasks . ||| tillämpa de grundläggande analysmetoder som används för att verifiera den tidsmässiga korrektheten hos en uppsättning processer .
the course is organized as a series of lectures and a set of exercise sessions where the programming techniques and theories presented at the lectures are put into practice . ||| kursen utgörs av en föreläsningsserie samt ett antal salsövningar där programmeringmetoder och teorier från föreläsningarna praktiseras .
apart from the programming of cooperating concurrent tasks with strict timing constraints , the laboratory assignment also encompasses low-level programming of hardware devices such as timers and network controllers . ||| uppgiften omfattar , förutom programmering av samverkande parallella processer , även maskinnära programmering av hårdvaruenheter som realtidsklockor och nätverkskontrollers .
preparatory courses in concurrent programming and operating systems . ||| förberedande kurser i parallellprogrammering och operativsystem .
work in designing and implementing a small digital device , in which a microprocessor can be included . ||| konstruktionsarbete i samband med konstruktion av en digital apparat eller ett mindre digitalt system i vilket en mikroprocessor kan ingå .
the following skills are usually students acquire : ||| följande kunskaper brukar studenterna förvärva :
- construction ||| - konstruktion
- with limited resources ||| - med begränsade resurser
- troubleshooting with an logic analyzer ||| - felsökning med logikanalysator
- timing ||| - timing
- using cpld circuits ||| - använda cpld- kretsar
- reading technical documentation ||| - läsa teknisk dokumentation
- report writing , technical documentation ||| - rapportskrivning , teknisk dokumentation
the examination is continuous during the course of laboratory [ l ] , weekly meetings [ w ] , review of logbooks [ b ] , assessment of the final product [ p ] and report [ r ] and the oral presentation [ o ] . ||| examinationen sker fortlöpande under kursen med laborationer [ l ] , veckomöten [ v ] , granskning av loggböcker [ o ] , bedömning av slutprodukt [ p ] och rapport [ r ] samt den muntlig framställning [ m ] .
the rating is based on the project group has chosen , which gives a base rating , this is adjusted according to how well the project has been completed . ||| betyget sätts utifrån vilket projekt gruppen har valt vilket ger ett bas betyg , detta justeras efter hur väl projektet har genomförts .
all parts above must be approved for the final grade . ||| alla delmoment ovan måste vara godkända för slutbetyg på kursen .
understand the principles for a structured and hierarchical description of smaller digital systems [ p , r ] . ||| principer för en strukturerad och hierarkisk beskrivning av mindre digitala system [ p, r ] .
understand the function , use and limitations of the programmable logic circuits [ l , r , p ] . ||| funktion , användning och begränsningar hos programmerbara kretsar [ l, r, p ] .
understand the function , use and limitations of modern design tools for electronic design ( eda ) [ l , r , p ] . ||| funktion , användning och begränsningar hos moderna konstruktionsverktyg för elektronikkonstruktion ( eda ) [ l, r, p ] .
know the requirements for power supply for digital circuits in environments with multiple voltages [ r , p ] . ||| krav för korrekt strömförsörjning av digitala kretsar i miljöer med flera spänningar [ r, p ] .
know how to search for documentation of commercial electronic components [ r , b ] . ||| hur man söker dokumentation om kommersiella elektronikkomponenter [ r, o ] .
skills and abilities ||| färdighet och förmåga
based on a vague requests , develop a technical specification for a small digital system [ r , p ] . ||| utgående från en vagt formulerat underlag ta fram en teknisk specifikation över funktion hos ett mindre digitalt system [ r, p ] .
based on a specification realize the function of a small digital system in programmable logic and other components in a structured manner using modern cad tools [ l , r , p ] . ||| utgående från en specifikation realisera funktionen hos ett mindre digitalt system i programmerbar logik och övriga komponenter på ett strukturerat sätt med hjälp av moderna cad-verktyg [ l, r, p ] .
understand and use relevant parts of the documentation of existing electronic components , to be able to interconnect them [ r ] . ||| förstå och använda tillämpliga delar i dokumentation över existerande elektronikkomponenter vid sammankoppling av dessa [ r ] .
perform engineering tradeoffs in the design related to functionality , speed , complexity and size [ r , p ] . ||| utföra ingenjörsmässiga avvägningar i konstruktionen mellan funktion , hastighet , komplexitet och storlek [ r, p ] .
manage modern eda tools with both their advantages and shortcomings [ l , w , b ] . ||| hantera moderna eda-verktyg med både deras fördelar och ofullkomligheter [ l, v, o ] .
debugging the design , using computer-based simulators and measuring instruments as logic analyzers and oscilloscope [ w , b ] . ||| felsökning av konstruktionen med användande av datorbaserade simulatorer och mätinstrument såsom logikanalysatorer och oscilloskop [ v, o ] .
complete and document a prototype of a smaller digital system [ p , r ] . ||| färdigställa och dokumentera en prototyp av ett mindre digitalt system [ p, r ] .
produce technical documentation of their design so that it is understandable and useful for people at different levels in a company [ r ] . ||| framställa teknisk dokumentation över den egna konstruktionen så att den är förståelig och användbar för personer på olika nivåer i ett företag [ r ] .
muntlig presentation av av arbetet på ett ingenjörsmässigt och professionellt sätt [ m ] . ||| muntlig presentation av arbetet på ett ingenjörsmässigt och professionellt sätt [ m ] .
oral presentation of work in an engineering and professional manner [ o ] . ||| genomföra arbete i projektform , och kontinuerligt dokumentera projektets framskridande [ v, o ] .
the course begins with some lecture and exercises that allows students to become familiar with cad / eda tools . ||| kursen inleds med en kort föreläsningsserie och några laborationer som gör att studenterna bekantar sig med cad / eda-verktygen .
subsequently , the students themselves proceed with the construction work under supervision . ||| därefter utför studenterna själva sitt konstruktionsarbete under överinseende av handledaren .
the project work is performed in groups of three or four students . ||| projektarbetet utförs i grupper om tre till fyra teknologer .
each group selects a task of its own or follows a proposal from a catalog of projects . ||| varje grupp väljer en uppgift efter eget förslag eller ur en projektkatalog .
components , instruments and equipment will be available for students in accessible premises for a period of six weeks . ||| komponenter , instrument och övrig utrustning hålls tillgängliga i för kursdeltagarna åtkomliga lokaler under en tidrymd av sex veckor .
construction work is presented in a written report . ||| konstruktionsarbetet redovisas i en skriftlig rapport .
students have a meeting each week with a supervisor . ||| studenterna har ett möte i veckan med handledare eller examinator som är obligatoriskt .
the course concludes with a seminar with mandatory attendance , where projects are presented . ||| kursen avslutas med ett seminarium med obligatorisk närvaro , där projekten redovisas .
fundamentals of digital systems and computer engineering , electronics , computer programming . ||| grundkurser inom områdena digital- och datorteknik , elektronik , programmering .
in addition the course eda322 digital design is strongly recommended . ||| dessutom är kursen eda322 digital konstruktion starkt rekommenderad .
the course gives basic knowledge in the security area , i.e. how to protect your system against intentional intrusions and attacks . ||| denna kurs ger grundläggande kunskaper inom området datasäkerhet ( eng . " security " ) , dvs hur man skyddar sitt system mot avsiktliga intrång .
the purpose of intrusions can be made to change or delete resources ( data , programs , hardware , etc ) , to get unauthorized access to confidential information or unauthorized use of the system's services . ||| intrång kan göras med avsikt att ändra eller förstöra resurser ( data , programvara , maskinvara , osv .) , för att skaffa tillgång till konfidentiell information eller för att orättmätigt utnyttja systemet och dess tjänster .
the course covers threats and vulnerabilities in the computer systems and networks , as well as rules , methods and mechanisms for protection . ||| kursen behandlar de hot som finns , svagheter i datorsystemen och kommunikationsnäten samt de regelverk och mekanismer som kan användas för att skydda systemen .
modeling and assessment of security and dependability as well as metrication methods are covered . ||| kursen behandlar säkerhet som en del av det överordnade begreppet pålitlighet ( eng . dependability ) .
during a few lectures , a holistic security approach is taken and organizational , business-related , social , human , legal and ethical aspects are treated . ||| säkerhetstänkandet sätts även in i ett vidare sammanhang , genom att organisatoriska , affärsmässiga , sociala , juridiska , mänskliga och etiska aspekter berörs .
introduction to computer security : definitions , terminology , standards . ||| introduktion till datasäkerhet : definitioner , terminologi , standarder .
some practical examples . ||| några praktikfall .
relation to dependability , reliability , availability and safety . ||| koppling till tillförlitlighet , tillgänglighet och katastrofsäkerhet .
information hiding , steganography and covert channels . ||| steganografi och hemliga kanaler .
introduction to cryptography . ||| introduktion till kryptoteknik .
secure operating systems . ||| säkra operativsystem .
deception systems . ||| vilseledande system .
security models : bell-lapadula , biba , chinese wall etc. . ||| säkerhetsmodeller : bell-lapadula , biba , m . fl .
introduction to network security and firewalls . ||| introduktion till säkerhet i nätverk och brandväggar .
database security , defensive programming , injection attacks . ||| säkerhet för databaser , defensiv programmeringsteknik .
security metrics . ||| mätning av säkerhet .
security management and organisation . ||| säkerhetsplanering och organisation .
laws and ethics . ||| lagar och etik .
after completing the course the student shall have acquired the following knowledge goals . ||| efter fullgjord kurs skall studenten ha tillgodogjort sig följande lärandemål .
the student shall : ||| studenten skall :
* have an overall , fundamental understanding of computer security and realize the consequences of insecurity ||| * ha en övergripande och grundläggande förståelse för datasäkerhet och vad otillräcklig datasäkerhet innebär för de betraktade systemen
* have a general knowledge of protection mechanisms ||| * ha en generell förståelse för olika skyddsmekanismer
* be capable of making a security analysis of different types of systems and suggest ways to improve security ||| * kunna analysera olika typer av system ur datasäkerhetssynpunkt , samt kunna föreslå åtgärder för att säkra systemen
* be able to deal with a few methods for security modeling ||| * ha förståelse för några metoder för att modellera säkerhet
* understand common methods for security assessment , evaluation and metrication ||| * förstå vanliga metoder för säkerhetsbedömning , utvärdering och svårigheterna i hur säkerhet kan mätas
* have improved his or her skill in technical writing ||| * ha förbättrat sin förmåga att uttrycka sig skriftligt genom att författa en teknisk rapport
* be able to reason on the ethical and social aspects of computer security . ||| * föra ett välunderbyggt resonemang kring etiska och sociala aspekter av datasäkerhet .
the course consists of a series of lectures , a few exercises and laborative exercises . ||| kursen utgörs av en föreläsningsserie , vissa övningsmoment och laborationer .
computer security is one of the courses proposed in the security specialization at chalmers and göteborg university . ||| denna kurs är en grundkurs i datasäkerhet och är en del av den föreslagna säkerhetsfördjupningen på chalmers och göteborg universitet .
ethical and social aspects in relation to computer science are further developed in the course dat147 . ||| etiska och sociala aspekter utvecklas ytterligare i kursen dat147 .
general requirements from a bachelor's degree are required . ||| undervisningen förutsätter kunskaper motsvarande en kandidatexamen .
knowledge in a programming language , such as c , is also required . ||| dessutom krävs kunskaper i ett programmeringsspråk , till exempel c .
the course eda092 operating systems or equivalent is recommended . ||| kursen eda092 operativsystem eller motsvarande rekommenderas .
the course covers architectural techniques for designing parallel computers ( in particular , techniques supporting major programming paradigms like message passing , shared memory , data parallelism , explicit instruction-level parallelism [ vliw ] , and modern combinations of these , such as the combined thread-and-data parallelism supported by gpus ) . ||| kursen behandlar arkitekturtekniker för konstruktion av parallella datorer ( särskilt tekniker som stödjer viktiga programmeringsmodeller såsom message passing , delat minne , dataparallellism , explicit instruktionsparallellism [ vliw ] och moderna kombinationer av dessa modeller , till exempel kombinerad tråd- och dataparallellism som används i gpuer ) .
the content is divided into several parts : ||| stoffet är indelat i flera tematiska delar .
these studies highlight the context in which each strategic approach was proposed and developed , and then in what contexts the ideas and design principles reappear today . ||| betoning ligger på de sammanhang där varje metod föreslogs och utvecklades , och därefter i vilka sammanhang dess idéer och principer tillämpas idag .
in order to motivate deeper discussions of different classes of parallel computers , the third part covers the canonical steps in designing efficient parallel software . ||| för att motivera djupare diskussioner om olika klasser av parallella datorsystem täcker den tredje delen de traditionella stegen vid konstruktion av paralllell mjukvara .
